page_num,student_id
SOH 153,141535
SOH 154,141621
SOH 154,144912
SOH 155,131724
SOH 155,134866
SOH 156,131836
SOH 156,145100
SOH 157,142101
SOH 157,132181
SOH 158,142163
SOH 158,122241
SOH 159,144674
SOH 159,145113
SOH 160,142486
SOH 160,122544
SOH 161,142634
SOH 161,132742
SOH 162,142697
SOH 162,145226
SOH 163,142771
SOH 163,145252
SOH 164,144702
SOH 164,145133
SOH 165,143216
SOH 165,123254
SOH 166,143280
SOH 166,143311
SOH 167,143413
SOH 167,143548
SOH 168,124550
SOH 168,143642
SOH 169,133758
SOH 169,133775
SOH 170,134712
SOH 170,144822
SOH 171,143795
SOH 171,143837
SOH 172,144014
SOH 172,144022
SOH 173,145170
SOH 173,134938
SOH 174,144196
SOH 174,144218
SOH 175,144263
SOH 175,134355
SOH 176,144268
SOH 176,145181
SOH 177,144746
SOH 177,144388
SOH 178,134732
SOH 178,144451
SOH 179,144474
SOH 182,144665
SOH 182,131956
SOH 183,145175
SOSE 8,130634
SOSE 8,131040
SOSE 9,131354
SOSE 9,122140
SOSE 10,132382
SOSE 10,132769
SOSE 11,133203
SOSE 11,133232
SOSE 12,134206
SOSE 16,130524
SOSE 16,130571
SOSE 17,130591
SOSE 17,131047
SOSE 18,131113
SOSE 18,131139
SOSE 19,131166
SOSE 19,131893
SOSE 20,132415
SOSE 20,132626
SOSE 21,133248
SOSE 21,133447
SOSE 22,134229
SOSE 22,134462
SOSE 25,140343
SOSE 25,144658
SOSE 26,121435
SOSE 26,141784
SOSE 27,143264
SOSE 27,134148
SOSE 28,144151
SOSE 28,144453
SOSE 31,134340
SOSE 37,140170
SOSE 37,130215
SOSE 38,130457
SOSE 38,140467
SOSE 39,140582
SOSE 39,131178
SOSE 40,141488
SOSE 40,141588
SOSE 41,131619
SOSE 41,121673
SOSE 42,131774
SOSE 42,141891
SOSE 43,132015
SOSE 43,132324
SOSE 44,132448
SOSE 44,142453
SOSE 45,132673
SOSE 45,132728
SOSE 46,132865
SOSE 46,142978
SOSE 47,142992
SOSE 47,133086
SOSE 48,133239
SOSE 48,143159
SOSE 49,123351
SOSE 49,143384
SOSE 50,133557
SOSE 50,143490
SOSE 51,123547
SOSE 51,143676
SOSE 52,143834
SOSE 52,123946
SOSE 53,143993
SOSE 53,134198
SOSE 54,134204
SOSE 54,144139
SOSE 55,144280
SOSE 55,134504
SOSE 59,130007
SOSE 59,130427
SOSE 60,110781
SOSE 60,120902
SOSE 61,131414
SOSE 61,132443
SOSE 62,132558
SOSE 62,132694
SOSE 63,132831
SOSE 63,133213
SOSE 64,133342
SOSE 64,133808
SOSE 65,124078
SOSE 72,140049
SOSE 72,140181
SOSE 73,140200
SOSE 73,130237
SOSE 74,140270
SOSE 74,130440
SOSE 75,130461
SOSE 75,140468
SOSE 76,144883
SOSE 76,140514
SOSE 77,141085
SOSE 77,134846
SOSE 78,131286
SOSE 78,141302
SOSE 79,141369
SOSE 79,141430
SOSE 80,141549
SOSE 80,141654
SOSE 81,141922
SOSE 81,141968
SOSE 82,142039
SOSE 82,142141
SOSE 83,142212
SOSE 83,142296
SOSE 84,142304
SOSE 84,132538
SOSE 85,132652
SOSE 85,143081
SOSE 86,133157
SOSE 86,143119
SOSE 87,133318
SOSE 87,133547
SOSE 88,143551
SOSE 88,143613
SOSE 89,133821
SOSE 89,143812
SOSE 90,143824
SOSE 90,143866
SOSE 91,134162
SOSE 91,144252
SOSE 92,134360
SOSE 95,140738
SOSE 95,142136
SOSE 96,142399
SOSE 96,143388
SOSE 97,143722
SOSE 97,143921
SOSE 98,144107
SOSE 102,130257
SOSE 102,130286
SOSE 103,130416
SOSE 103,134595
SOSE 104,130640
SOSE 104,130804
SOSE 105,130889
SOSE 105,131499
SOSE 106,131654
SOSE 106,131669
SOSE 107,132253
SOSE 107,132545
SOSE 108,132928
SOSE 108,123444
SOSE 109,133694
SOSE 109,133709
SOSE 110,134711
SOSE 110,133863
SOSE 111,133954
SOSE 111,134225
SOSE 115,104364
SOSE 115,130036
SOSE 116,130104
SOSE 116,114619
SOSE 117,130624
SOSE 117,130679
SOSE 118,130720
SOSE 118,130723
SOSE 119,131160
SOSE 119,131364
SOSE 120,145218
SOSE 120,122181
SOSE 121,112416
SOSE 121,132755
SOSE 122,132797
SOSE 122,133469
SOSE 123,133901
SOSE 123,134072
SOSE 124,134160
SOSE 132,140102
SOSE 132,140186
SOSE 133,140227
SOSE 133,140394
SOSE 134,140404
SOSE 134,140417
SOSE 135,140418
SOSE 135,144527
SOSE 136,140551
SOSE 136,140617
SOSE 137,140653
SOSE 137,140671
SOSE 138,141098
SOSE 138,141252
SOSE 139,141320
SOSE 139,141325
SOSE 140,141570
SOSE 140,141584
SOSE 141,141618
SOSE 141,141884
SOSE 142,141889
SOSE 142,141981
SOSE 143,142020
SOSE 143,144560
SOSE 144,142113
SOSE 144,142150
SOSE 145,142274
SOSE 145,142457
SOSE 146,142522
SOSE 146,142532
SOSE 147,132760
SOSE 147,142749
SOSE 148,142776
SOSE 148,142940
SOSE 149,144587
SOSE 149,143170
SOSE 150,143171
SOSE 150,144706
SOSE 151,143213
SOSE 151,133333
SOSE 152,143330
SOSE 152,143352
SOSE 153,143378
SOSE 153,143430
SOSE 154,143441
SOSE 154,143499
SOSE 155,143540
SOSE 155,143570
SOSE 156,143684
SOSE 156,143735
SOSE 157,143760
SOSE 157,143786
SOSE 158,143811
SOSE 158,144254
SOSE 159,144296
SOSE 159,144327
SOSE 160,134502
SOSE 160,144479
SOSE 170,140040
SOSE 170,140042
SOSE 171,140098
SOSE 171,140198
SOSE 172,140312
SOSE 172,140327
SOSE 173,130442
SOSE 173,140632
SOSE 174,144646
SOSE 174,140678
SOSE 175,140742
SOSE 175,140866
SOSE 176,140974
SOSE 176,140999
SOSE 177,143188
SOSE 177,141093
SOSE 178,144774
SOSE 178,141127
SOSE 179,144837
SOSE 179,121291
SOSE 180,121304
SOSE 180,141321
SOSE 181,141432
SOSE 181,141438
SOSE 182,141470
SOSE 182,141483
SOSE 183,141571
SOSE 183,134646
SOSE 184,141802
SOSE 184,141804
SOSE 185,141853
SOSE 185,142074
SOSE 186,142082
SOSE 186,142197
SOSE 187,142199
SOSE 187,142254
SOSE 188,142313
SOSE 188,132521
SOSE 189,122486
SOSE 189,142548
SOSE 190,142577
SOSE 190,132659
SOSE 191,142654
SOSE 191,142669
SOSE 192,142719
SOSE 192,132793
SOSE 193,142738
SOSE 193,142743
SOSE 194,145258
SOSE 194,142792
SOSE 195,142823
SOSE 195,144582
SOSE 196,142884
SOSE 196,142902
SOSE 197,143028
SOSE 197,143124
SOSE 198,143162
SOSE 198,143175
SOSE 199,133316
SOSE 199,143250
SOSE 200,143328
SOSE 200,143370
SOSE 201,143435
SOSE 201,143513
SOSE 202,143555
SOSE 202,143644
SOSE 203,143853
SOSE 203,143956
SOSE 204,134085
SOSE 204,143990
SOSE 204,144010
SOSE 205,144089
SOSE 205,144092
SOSE 206,144104
SOSE 206,144272
SOSE 207,144301
SOSE 210,140255
SOSE 210,140446
SOSE 211,130670
SOSE 211,131044
SOSE 212,141479
SOSE 212,141579
SOSE 213,142132
SOSE 213,143031
SOSE 214,143248
SOSE 214,134348
SOSE 222,144756
SOSE 222,140215
SOSE 223,145028
SOSE 223,140261
SOSE 224,144877
SOSE 224,145192
SOSE 225,130435
SOSE 225,140483
SOSE 226,140485
SOSE 226,124627
SOSE 227,140709
SOSE 227,140737
SOSE 228,140906
SOSE 228,140991
SOSE 229,141269
SOSE 229,141392
SOSE 230,141466
SOSE 230,131482
SOSE 231,141518
SOSE 231,145209
SOSE 232,141554
SOSE 232,131578
SOSE 233,121593
SOSE 233,141858
SOSE 234,141960
SOSE 234,142308
SOSE 235,132397
SOSE 235,142372
SOSE 236,132419
SOSE 236,142503
SOSE 237,132667
SOSE 237,142637
SOSE 238,142649
SOSE 238,142708
SOSE 239,144698
SOSE 239,143089
SOSE 240,143155
SOSE 240,143203
SOSE 241,133300
SOSE 241,123269
SOSE 242,144716
SOSE 242,143416
SOSE 243,143420
SOSE 243,133552
SOSE 244,143560
SOSE 244,133747
SOSE 245,143710
SOSE 245,143864
SOSE 246,145165
SOSE 246,143972
SOSE 247,144055
SOSE 247,144056
SOSE 248,144113
SOSE 248,134263
SOSE 249,145246
SOSE 249,144236
SOSE 250,145262
SOSE 250,144748
SOSE 251,134479
SOSE 254,131658
SOSE 254,132077
SOSE 255,132121
SOSE 263,140018
SOSE 263,140103
SOSE 264,140184
SOSE 264,140190
SOSE 265,140207
SOSE 265,120266
SOSE 266,140502
SOSE 266,140533
SOSE 267,140668
SOSE 267,140934
SOSE 268,130695
SOSE 268,140723
SOSE 269,140781
SOSE 269,140926
SOSE 270,140937
SOSE 270,131005
SOSE 271,141405
SOSE 271,141520
SOSE 272,131552
SOSE 272,141701
SOSE 273,141842
SOSE 273,141920
SOSE 274,141942
SOSE 274,142055
SOSE 275,142182
SOSE 275,142247
SOSE 276,142369
SOSE 276,142387
SOSE 277,122433
SOSE 277,142639
SOSE 278,142767
